run_dir,ts,backend,backend_model,workload,n,latency_ms_mean,latency_ms_p50,latency_ms_p95,throughput_req_per_s,total_tokens,avg_tokens,total_input_tokens,total_output_tokens,ttft_ms_mean,generation_ms_mean
run_mlx_20251227_202353,2025-12-27T19:24:12.052547+00:00,mlx,mlx-community/Phi-3-mini-4k-instruct-4bit,summarization,10.0,1588.952683401294,1560.0244165034383,1709.5022418514416,0.6293441116484874,,,,,,
run_mlx_20251227_222311,2025-12-27T21:23:30.092276+00:00,mlx,mlx-community/Phi-3-mini-4k-instruct-4bit,summarization,10.0,1615.9539459025837,1562.7081249986077,1811.5481856017138,0.6186204875125493,1357,135.7000,546,811,,
run_openai_20251227_222751,2025-12-27T21:28:10.578428+00:00,openai,gpt-4.1-mini,summarization,10.0,1845.5447124986676,1583.2378124978277,3583.7431081454242,0.541813151006364,864,86.4000,562,302,,
run_mlx_20251227_225155,2025-12-27T21:57:19.671375+00:00,mlx,mlx-community/Phi-3-mini-4k-instruct-4bit,summarization,200.0,1605.6707608647412,1608.7320210062899,1686.0406166582832,0.622647803691022,29396,146.9800,13210,16186,,
run_mlx_20251227_234706,2025-12-27T22:52:26.253465+00:00,mlx,mlx-community/Phi-3-mini-4k-instruct-4bit,summarization,200.0,1586.4736172948324,1574.1022084985161,1624.219096150773,0.630211696044768,29396,146.9800,13210,16186,,
run_openai_20251227_235226,2025-12-27T22:57:06.690686+00:00,openai,gpt-4.1-mini,summarization,200.0,1399.3545250204625,1023.830624500988,3845.048280949411,0.7145879860680232,18902,94.5100,12452,6450,,
run_mlx_20251226_221646,,mlx,mlx-community/Phi-3-mini-4k-instruct-4bit,summarization,10.0,2667.995741699997,2456.98314600304,3326.12064970126,0.3748122296098045,,,,,,
run_mlx_20251227_192902,,mlx,mlx-community/Phi-3-mini-4k-instruct-4bit,summarization,10.0,2462.606950098416,2437.101041999995,2582.1652107486443,0.40607297222887334,,,,,,
run_mlx_20251227_194147,,mlx,mlx-community/Phi-3-mini-4k-instruct-4bit,summarization,10.0,2451.262433602824,2442.0088335027685,2509.805217153189,0.4079517582711053,,,,,,
run_mlx_20251227_195249,,mlx,mlx-community/Phi-3-mini-4k-instruct-4bit,summarization,10.0,1647.424404299818,1630.768207993242,1768.0231090045706,0.6070071785729665,,,,,,
run_mlx_20251227_200823,,mlx,mlx-community/Phi-3-mini-4k-instruct-4bit,summarization,10.0,1604.4694331998471,1571.1480414975085,1777.2739723972334,0.6232564352535489,,,,,,
run_openai_20251226_214943,,openai,gpt-4.1-mini,summarization,10.0,1495.2610538974113,1146.620437499223,2672.8529998450535,0.6687405500141881,758,75.8000,412,346,,
run_openai_20251227_194126,,openai,gpt-4.1-mini,summarization,10.0,2022.5540876985178,1846.5327084995806,2969.5656709460304,0.49439956737694,763,76.3000,412,351,,
